CODE_COM;APL_EHPA;APL_RA;APL_SAPA
21244;57387.87;450.29;323.36
21246;79882.49;221.74;1891.44
21248;128827.78;369.46;1087.11
21249;57538.99;0.0;494.94
21250;58794.68;0.0;3190.95
21260;166961.99;0.0;538.91
21280;84066.42;1332.35;94.92
21282;100881.07;0.0;94.92
21293;50729.31;450.29;657.6
21295;108735.44;221.74;1891.44
21304;33648.08;0.0;692.07
21329;174011.24;0.0;548.21
21334;81660.43;450.29;787.05
21337;52879.61;0.0;237.53
21344;70944.85;0.0;1266.32
21352;99007.32;484.18;2041.82
21357;81349.33;0.0;1938.68
21366;60997.17;0.0;539.72
21380;146741.15;1332.35;486.93
21382;60262.36;1332.35;558.61
21387;77045.45;198.91;1024.22
21388;86318.12;22.83;1770.91
21390;140094.73;22.83;1968.09
21413;183044.3;0.0;286.29
21423;116926.37;608.45;1549.07
21425;137873.23;0.0;538.91
21428;99426.25;198.91;816.39
21429;202944.63;0.0;1087.11
21442;89663.45;221.74;1891.44
21444;122818.94;0.0;1752.55
21448;174475.04;369.46;1192.83
21450;83565.45;198.91;46.66
21462;121081.95;22.83;2041.44
21466;29761.69;369.46;261.91
21470;34114.77;369.46;0.0
21471;45134.74;369.46;1748.37
21481;116254.75;221.74;1968.09
21486;70042.65;0.0;266.55
21490;50793.33;369.46;548.21
21517;90971.08;221.74;2101.16
21520;80538.25;473.13;2495.64
21525;114628.86;882.06;94.92
21528;123970.98;0.0;653.93
21529;162160.68;1332.35;486.93
21539;89825.34;450.29;429.08
21542;63516.98;221.74;1845.07
21545;157095.64;0.0;697.58
21547;158878.05;0.0;286.29
21550;151565.91;0.0;538.91
21556;61409.8;218.24;283.9
21557;75555.18;369.46;261.91
21558;103185.1;471.49;1351.65
21565;91962.78;22.83;1891.44
21566;67042.19;0.0;463.69
21569;57752.83;198.91;0.0
21570;74017.1;450.29;892.77
21571;56089.51;0.0;160.64
21574;66626.16;0.0;283.64
21580;56741.51;0.0;653.93
21590;59898.68;198.91;46.66
21611;95316.32;473.13;2495.64
21616;99805.31;608.45;1351.65
21618;74602.67;0.0;318.19
21631;58364.25;0.0;463.69
21640;180443.07;0.0;286.29
21646;56100.76;0.0;429.08
21648;44664.48;0.0;0.0
21655;82892.83;0.0;1938.68
21657;103513.41;22.83;1851.99
21662;129261.46;1332.35;486.93
21663;195357.66;369.46;1192.83
21672;110690.85;450.29;392.01
21679;83575.36;450.29;892.77
21682;67564.94;0.0;599.21
21690;67959.46;0.0;653.93
21692;48725.69;0.0;912.15
21705;61128.27;369.46;653.93
21715;84244.01;836.06;1435.56
22002;113767.46;683.74;956.68
22004;128526.44;382.05;535.67
22006;143453.41;805.57;1074.82
22008;138081.8;567.26;747.94
22015;122178.94;483.77;808.58
22019;109387.17;704.38;741.11
22021;116293.86;721.03;507.85
22027;71029.94;380.29;1102.68
22028;118231.02;732.76;633.93
22029;90300.2;248.49;677.75
22049;109282.54;740.97;1033.53
22053;81366.02;338.74;444.32
22055;85221.59;344.09;741.82
22065;151071.28;585.18;1056.7
22079;92264.79;269.22;467.07
22113;139127.69;550.31;681.1
22122;79595.19;341.51;582.98
22123;127063.14;402.84;524.83
22141;134020.02;805.57;706.23
22146;99762.36;644.44;110.07
22162;135376.06;534.05;572.98
22178;123311.17;664.32;865.43
22187;166475.7;683.1;1062.57
22188;133910.26;584.3;862.25
22203;111175.92;281.67;654.73
22237;95766.22;620.52;807.15
22238;84941.27;59.44;455.77
22256;119351.56;442.46;572.98
22280;111000.38;239.39;515.21
22281;100949.64;289.63;667.52
22307;144546.98;499.62;1385.71
22309;88907.36;341.51;558.19
22325;88640.73;559.5;792.26
22326;98334.84;486.05;1111.2
22341;109196.31;515.34;927.08
22356;138917.2;752.58;872.04
22369;106241.01;509.34;869.47
23071;145285.83;0.0;4415.23
23087;51137.54;69.14;1545.56
23122;122531.49;357.37;3425.79
23172;78156.23;417.5;4415.23
23183;53827.6;417.5;4415.23
23198;77535.37;0.0;0.0
23223;80813.54;357.37;4506.55
23227;79961.94;0.0;1737.47
23243;54369.68;417.5;0.0
23247;127726.9;69.14;2878.25
24013;102393.08;696.93;829.27
24044;44360.42;146.67;436.99
24061;51671.06;164.83;853.25
24067;102714.02;1007.51;640.35
24097;103977.56;299.53;485.95
24098;118604.01;696.93;1323.91
24101;85536.84;248.78;342.76
24110;97163.31;248.78;766.97
24114;113901.29;445.02;782.2
24115;108344.64;945.7;1332.07
24122;95470.8;965.13;513.3
